                               name                    recclass
0                            Aachen                          L5
1                            Aarhus                          H6
2                              Abee                         EH4
3                          Acapulco                 Acapulcoite
4                           Achiras                          L6
5                          Adhi Kot                         EH4
6               Adzhi-Bogdo (stone)                       LL3-6
7                              Agen                          H5
8                            Aguada                          L6
9                     Aguila Blanca                           L
10                 Aioun el Atrouss                Diogenite-pm
11                              Aïr                          L6
12                  Aire-sur-la-Lys                     Unknown
13                            Akaba                          L6
14                         Akbarpur                          H4
15                          Akwanga                           H
16                          Akyumak                   Iron, IVA
17                          Al Rais                      CR2-an
18                        Al Zarnkh                         LL5
19                            Alais                         CI1
20                         Albareto                       L/LL4
21                          Alberta                           L
22                  Alby sur Chéran               Eucrite-mmict
23                        Aldsworth                         LL5
24                           Aleppo                          L6
25                      Alessandria                          H5
26                    Alexandrovsky                          H4
27                       Alfianello                          L6
28                          Allegan                          H5
29                          Allende                         CV3
30                   Almahata Sitta                 Ureilite-an
31                       Alta'ameem                         LL5
32                    Ambapur Nagla                          H5
33                          Andhara                  Stone-uncl
34                          Andover                          L6
35                        Andreevka                          L3
36                           Andura                          H6
37            Northwest Africa 5815                          L5
38                           Angers                          L6
39           Angra dos Reis (stone)                     Angrite
40                          Ankober                          H4
41                           Anlong                          H5
42                           Aomori                          L6
43                    Appley Bridge                         LL6
44                              Apt                          L6
45                       Arbol Solo                          H5
46                           Archie                          H6
47                    Arroyo Aguiar                          H5
48                             Asco                          H6
49                        Ash Creek                          L6
50                           Ashdon                          L6
51                           Assisi                          H5
52                           Atarra                          L4
53                         Atemajac                          L6
54                           Athens                         LL6
55                            Atoka                          L6
56                           Aubres                     Aubrite
57                           Aumale                          L6
58                         Aumieres                          L6
59                           Ausson                          L5
60                      Avanhandava                          H4
61                             Avce                  Iron, IIAB
62                           Avilez                           H
63                            Awere                          L4
64                            Aztec                          L6
65                          Bachmut                          L6
66                           Bahjoi               Iron, IAB-sLL
67                    Bald Mountain                          L4
68                          Baldwyn                          L6
69                             Bali                         CV3
70                      Ban Rong Du             Iron, ungrouped
71                          Bandong                         LL6
72                           Bansur                          L6
73                          Banswal                          L5
74                           Banten                         CM2
75                         Barbotan                          H5
76                Barcelona (stone)                          OC
77                            Barea             Mesosiderite-A1
78                          Barnaul                          H5
79                         Barntrup                         LL4
80                           Baroti                          L6
81                          Barwell                          L5
82                      Bassikounou                          H5
83                        Baszkówka                          L5
84                             Bath                          H4
85                     Bath Furnace                          L6
86                  Battle Mountain                          L6
87                            Bawku                         LL5
88                           Baxter                          L6
89                        Beardsley                          H5
90                     Beaver Creek                          H5
91                       Beddgelert                          H5
92                            Bells                      C2-ung
93                         Belville                          OC
94                      Benares (a)                         LL4
95                        Benguerir                         LL6
96                      Beni M'hira                          L6
97                            Benld                          H6
98                           Benoni                          H6
99                          Bensour                         LL6
100                          Benton                         LL6
101                          Berduc                          L6
102                          Béréba               Eucrite-mmict
103                   Berlanguillas                          L6
104                        Berthoud               Eucrite-mmict
105                       Bethlehem                           H
106                          Beuste                          L5
107                         Beyrout                       LL3.8
108                          Bhagur                          L6
109                          Bhawad                         LL6
110                          Bherai                          L6
111                           Bhola                       LL3-6
112                       Bholghati                   Howardite
113                       Bialystok               Eucrite-pmict
114                Bielokrynitschie                          H4
115                         Bilanga                   Diogenite
116                       Binningup                          H5
117                   Birni N'konni                          H4
118                     Bishopville                     Aubrite
119                       Bishunpur                      LL3.15
120                  Bjelaja Zerkov                          H6
121                        Bjurböle                       L/LL4
122            Black Moshannan Park                          L5
123                       Blackwell                          L5
124                         Blanket                          L6
125                         Blansko                          H6
126                     Bloomington                         LL6
127                         Bo Xian                       LL3.9
128                           Bocas                          L6
129                           Bogou                Iron, IAB-MG
130                      Boguslavka                  Iron, IIAB
131                Borgo San Donino                         LL6
132                            Bori                          L6
133                       Boriskino                         CM2
134                          Borkut                          L5
135                        Borodino                          H5
136                   Botschetschki                          L4
137                 Boumdeid (2003)                          L6
138                 Boumdeid (2011)                          L6
139                          Bovedy                          L3
140                  Bradford Woods                           L
141                         Braunau                  Iron, IIAB
142                     Breitscheid                          H5
143                     Bremervörde                      H/L3.9
144                          Brient               Eucrite-pmict
145                      Bruderheim                          L6
146                         Bukhara                         CV3
147                       Bulls Run                       Iron?
148               Bunburra Rockhole                     Eucrite
149                          Bununu                   Howardite
150                     Bur-Gheluai                          H5
151                        Burnwell                       H4-an
152                           Bursa                          L6
