                               name   fall
0                            Aachen   Fell
1                            Aarhus   Fell
2                              Abee   Fell
3                          Acapulco   Fell
4                           Achiras   Fell
5                          Adhi Kot   Fell
6               Adzhi-Bogdo (stone)   Fell
7                              Agen   Fell
8                            Aguada   Fell
9                     Aguila Blanca   Fell
10                 Aioun el Atrouss   Fell
11                              Aïr   Fell
12                  Aire-sur-la-Lys   Fell
13                            Akaba   Fell
14                         Akbarpur   Fell
15                          Akwanga   Fell
16                          Akyumak   Fell
17                          Al Rais   Fell
18                        Al Zarnkh   Fell
19                            Alais   Fell
20                         Albareto   Fell
21                          Alberta   Fell
22                  Alby sur Chéran   Fell
23                        Aldsworth   Fell
24                           Aleppo   Fell
25                      Alessandria   Fell
26                    Alexandrovsky   Fell
27                       Alfianello   Fell
28                          Allegan   Fell
29                          Allende   Fell
30                   Almahata Sitta   Fell
31                       Alta'ameem   Fell
32                    Ambapur Nagla   Fell
33                          Andhara   Fell
34                          Andover   Fell
35                        Andreevka   Fell
36                           Andura   Fell
37            Northwest Africa 5815  Found
38                           Angers   Fell
39           Angra dos Reis (stone)   Fell
40                          Ankober   Fell
41                           Anlong   Fell
42                           Aomori   Fell
43                    Appley Bridge   Fell
44                              Apt   Fell
45                       Arbol Solo   Fell
46                           Archie   Fell
47                    Arroyo Aguiar   Fell
48                             Asco   Fell
49                        Ash Creek   Fell
50                           Ashdon   Fell
51                           Assisi   Fell
52                           Atarra   Fell
53                         Atemajac   Fell
54                           Athens   Fell
55                            Atoka   Fell
56                           Aubres   Fell
57                           Aumale   Fell
58                         Aumieres   Fell
59                           Ausson   Fell
60                      Avanhandava   Fell
61                             Avce   Fell
62                           Avilez   Fell
63                            Awere   Fell
64                            Aztec   Fell
65                          Bachmut   Fell
66                           Bahjoi   Fell
67                    Bald Mountain   Fell
68                          Baldwyn   Fell
69                             Bali   Fell
70                      Ban Rong Du   Fell
71                          Bandong   Fell
72                           Bansur   Fell
73                          Banswal   Fell
74                           Banten   Fell
75                         Barbotan   Fell
76                Barcelona (stone)   Fell
77                            Barea   Fell
78                          Barnaul   Fell
79                         Barntrup   Fell
80                           Baroti   Fell
81                          Barwell   Fell
82                      Bassikounou   Fell
83                        Baszkówka   Fell
84                             Bath   Fell
85                     Bath Furnace   Fell
86                  Battle Mountain   Fell
87                            Bawku   Fell
88                           Baxter   Fell
